name,city,state,contact,type,lat,lng
Apollo Blood Bank,Hyderabad,Telangana,040-23607777,pvt,17.4065,78.4772
NIMS Blood Bank,Hyderabad,Telangana,040-23489000,govt,17.3850,78.4867
Rotary Blood Bank,Delhi,Delhi,011-23370737,ngo,28.6139,77.2090
AIIMS Blood Bank,Delhi,Delhi,011-26588500,govt,28.5672,77.2100
KEM Blood Bank,Mumbai,Maharashtra,022-24107000,govt,18.9870,72.8354
Tata Memorial Blood Bank,Mumbai,Maharashtra,022-24177000,pvt,18.9986,72.8135
PGI Blood Bank,Chandigarh,Punjab,0172-2755255,govt,30.7654,76.7783
SGPGI Blood Bank,Lucknow,Uttar Pradesh,0522-2668800,govt,26.8467,80.9462
CMC Blood Bank,Vellore,Tamil Nadu,0416-2281000,govt,12.9165,79.1325
Manipal Blood Bank,Bengaluru,Karnataka,080-25023000,pvt,12.9716,77.5946
